actor_token,actor_yes_no
Person,True
Man,True
System,True
User,True
Screen,True
Client,True
Customer,True
Consumer,True
Computer,True
Screen,True
Project,True
use,True
their,True
mozilla,True
developer,True
specification,True
contact,True
distribution,True
sort,True
functionality,True
enter,True
navigator,True
sitemap,True
hope,True
description,True
high-level,True
disclaimer,True
delivery,True
gui,True
support,True
reliability,True
completion,True
team,True
list,True
method,True
link,True
credential,True
constraint,True
characteristic,True
number,True
categorization,True
get,True
detail,True
cart,True
disk,True
problem,True
perspective,True
client/customer,True
analysis,True
item,True
tool,True
assumption,True
document,True
run,True
server,True
defines,True
credit,True
project,True
support,True
requirement,True
sale,True
acronym,True
catalogue,True
software,True
help,True
goal,True
tcp/ip,True
in-house,True
password,True
document,True
industry,True
response,True
capability,True
view,True
load,True
modem,True
audience,True
scope,True
capture,True
application,True
time,True
register,True
faq,True
connection,True
interface,True
system,True
notice,True
suite,True
disk,True
growth,True
requirement,True
promotion,True
target,True
cancel,True
invoice,True
ipv4,True
page,True
function,True
definition,True
option,True
outline,True
entertainment,True
ibm,True
department,True
consumer,True
replication,True
handling,True
code,True
multi,True
charge,True
component,True
word,True
web,True
switchover,True
product,True
section,True
character,True
customer,True
computer,True
tax,True
agreement,True
method,True
availability,True
intranet,True
navigate,True
catalog,True
result,True
cooky,True
array,True
identify,True
tractability,True
loading,True
product,True
client,True
statement,True
abbreviation,True
confirmation,True
supportability,True
regulation,True
constraint,True
medium,True
select,True
analyze,True
service,True
parameter,True
cua,True
authenticate,True
configuration,True
http,True
review,True
model,True
help,True
information,True
raid,True
configure,True
management,True
section,True
period,True
billpay,True
history,True
location,True
manager,True
strength,True
performance,True
client,True
handicap,True
connect,True
description,True
overview,True
guideline,True
system,True
dependency,True
wan,True
specification,True
designer,True
question,True
type,True
port,True
offer,True
provider,True
socket,True
personnel,True
transfer,True
security,True
give,True
crm,True
company,True
customer,True
way,True
payment,True
vision,True
financing,True
part,True
ethernet,True
aim,True
storage,True
opportunity,True
feature,True
computer,True
customer,True
organization,True
communication,True
stakeholder,True
list,True
language,True
take,True
scope,True
predict,True
icon,True
his,True
field,True
our,True
discus,True
rating,True
home,True
toolbars,True
draft,True
purchase,True
product,True
mark,True
transaction,True
define,True
verisign,True
order,True
payment,True
sell,True
electronics,True
database,True
process,True
database,True
data,True
image,True
screen,True
type,True
card,True
page,True
sale,True
reference,True
number,True
briefly,True
categorization,True
resolve,True
order,True
survey,True
browser,True
minute,True
concentrate,True
detail,True
interface,True
promotion,True
conforms,True
facility,True
party,True
abbreviation,True
describes,True
help,True
system,True
relationship,True
reward,True
offering,True
pertains,True
company,True
newsletter,True
specification,True
communication,True
skill,True
design,True
validate,True
email,True
feel,True
application,True
memory,True
calculation,True
subsection,True
facility,True
standard,True
secure,True
concept,True
selection,True
duration,True
page,True
gain,True
workshop,True
idea,True
sequence,True
back-end,True
user,True
shipment,True
option,True
administrator,True
sdlc,True
source,True
warranty,True
accessibility,True
plan,True
case,True
request,True
document,True
product,True
calculate,True
network,True
development,True
digit,True
internet,True
cancellation,True
change,True
regulation,True
transaction,True
access,True
configurator,True
export,True
